U_WN	Y_BC	Y_SD	Y_FB	U_CN	Y_CN	U_SF	Y_SF	Y_FT	Y_SO	Z_SP
Y_BC	Y_SD	Y_FB	Y_CN	Y_SF	Y_FT	Y_SO
U_WN
U_WN
U_WN
Y_CN
U_CN
Y_SF
U_SF
U_WN
U_WN

-10	-10	-10	-10	-10	-10	-10	-10	-10	-10	-10
10	10	10	10	10	10	10	10	10	10	10
0,034025127	0,199461097	0,128379989	0,016481422	-0,061897248	-0,030307911	-0,031910819	10,65425064	10,65425064	0,646935941	0,353174408
0,958872624	0,217370396	0,175379107	0,030757831	0,022410193	-0,029472814	-0,031542026	10,40107271	10,40107271	0,425171217	0,323994014
2,255720108	0,225259828	0,198018918	0,039211492	0,064519168	-0,028813977	-0,031105219	10,12837999	10,12837999	1,812429396	0,302563534
2,095621565	0,299483247	0,344340388	0,118570303	0,208948984	-0,026747968	-0,030496335	10,17537911	10,17537911	-0,276290134	0,299115374
-0,026273808	0,274221567	0,28808978	0,082995722	0,145671672	-0,026626543	-0,029805496	10,19801892	10,19801892	1,629655469	0,303388893
0,219510976	0,339374729	0,409682068	0,167839397	0,2557067	-0,024657514	-0,029044783	10,34434039	10,34434039	4,101758148	0,314082212
1,022478607	0,521739103	0,744311956	0,554000287	0,543236915	-0,020101317	-0,027822663	10,28808978	10,28808978	3,446931174	0,368183951
0,081616316	0,671513821	0,989262804	0,978640895	0,709584074	-0,0158741	-0,026026998	10,40968207	10,40968207	-1,04181042	0,471793303
0,410678796	0,605110549	0,805177267	0,648310432	0,471318501	-0,015894878	-0,024188536	10,74431196	10,74431196	-0,366155315	0,567950492
-0,970644141	0,568415898	0,699013992	0,488620561	0,352118947	-0,015424537	-0,022641088	10,9892628	10,9892628	1,345943223	0,624434771
0,934279983	0,611625678	0,757648172	0,574030753	0,404577509	-0,013350805	-0,021138674	10,80517727	10,80517727	-0,594415541	0,667656539
0,577338227	0,561188619	0,635104401	0,4033576	0,284650572	-0,013161061	-0,019709197	10,69901399	10,69901399	0,186253192	0,695539521
-0,123939041	0,546865715	0,594422945	0,353338637	0,258503383	-0,012314228	-0,018442887	10,75764817	10,75764817	-2,535711227	0,701253727
0,811120473	0,40245556	0,310724444	0,09654968	0,013280118	-0,014228973	-0,01751133	10,6351044	10,6351044	1,557835522	0,670332097
0,523737428	0,453065345	0,423755875	0,179569041	0,162907963	-0,01233385	-0,016738797	10,59442294	10,59442294	0,73092058	0,62456653
-0,471034932	0,464891473	0,451595629	0,203938612	0,204368712	-0,011155685	-0,015829941	10,31072444	10,31072444	-0,699473711	0,594251629
-1,583759388	0,408856841	0,347268904	0,120595692	0,116562721	-0,011381026	-0,015003753	10,42375587	10,42375587	1,274972042	0,557990602
-0,022834055	0,447137287	0,43135092	0,186063616	0,21183899	-0,009737667	-0,014193107	10,45159563	10,45159563	0,616123937	0,523888639
1,186961176	0,454426754	0,448097751	0,200791594	0,228332715	-0,008671783	-0,013285617	10,3472689	10,3472689	-1,390167614	0,502872954
-0,875286228	0,366357431	0,28148728	0,079235089	0,07541128	-0,009595585	-0,012535816	10,43135092	10,43135092	-3,449006056	0,469612899
0,134554753	0,18077928	-0,056624541	0,003206339	-0,210515913	-0,012740767	-0,012297496	10,44809775	10,44809775	0,010956431	0,391518572
0,439720552	0,161402909	-0,050499366	0,002550186	-0,14487729	-0,012760933	-0,012379737	10,28148728	10,28148728	2,424421718	0,292216416
0,810454957	0,258997682	0,17381415	0,030211359	0,098543433	-0,010363887	-0,012224271	9,943375459	9,943375459	-1,924386606	0,228225601
-0,641651156	0,151056296	-0,016355464	0,000267501	-0,078225747	-0,012092003	-0,012048937	9,949500634	9,949500634	0,285464971	0,175672106
0,396042384	0,149485967	0,010999914	0,000120998	-0,030256495	-0,011799002	-0,012029294	10,17381415	10,17381415	0,86844119	0,1177855
1,083275556	0,177105439	0,088713772	0,007870133	0,052201629	-0,010896866	-0,011903034	9,983644536	9,983644536	1,532196141	0,080172061
0,897261713	0,237376615	0,219543239	0,048199234	0,168586664	-0,009255804	-0,011566905	10,01099991	10,01099991	-1,502845551	0,070993066
0,327727522	0,153726063	0,063435197	0,004024024	0,007237967	-0,01051933	-0,011266346	10,08871377	10,08871377	0,728649572	0,063343824
0,742545246	0,176785509	0,123726644	0,015308283	0,070135096	-0,00970702	-0,011054834	10,21954324	10,21954324	2,042824467	0,051931824
-1,125257101	0,263049442	0,297663334	0,08860346	0,225579396	-0,007523239	-0,010605932	10,0634352	10,0634352	1,496860092	0,067778088
0,393973584	0,323402719	0,406352068	0,165122003	0,299114668	-0,005715477	-0,009877776	10,12372664	10,12372664	0,249102977	0,111680406
-0,783364425	0,323814279	0,392099858	0,153742298	0,254525351	-0,005049258	-0,009060865	10,29766333	10,29766333	1,092990635	0,161813315
-0,929599266	0,363661799	0,455624822	0,207593979	0,293014417	-0,003555563	-0,008193749	10,40635207	10,40635207	-2,706139024	0,213020723
1,762220783	0,221972432	0,169059578	0,028581141	0,010927322	-0,005796724	-0,007562949	10,39209986	10,39209986	0,618887589	0,236146011
-1,3641245	0,238340506	0,209829566	0,044028447	0,07226713	-0,004997983	-0,007167958	10,45562482	10,45562482	-1,776558415	0,233930952
1,137926528	0,141112427	0,02979406	0,000887686	-0,080686996	-0,00655316	-0,006920303	10,16905958	10,16905958	-1,888992592	0,216397399
-1,280648596	0,039220738	-0,144114427	0,020768968	-0,207320677	-0,008397407	-0,007026528	10,20982957	10,20982957	3,668555993	0,165720963
-0,577498373	0,203185871	0,201445483	0,040580282	0,151511652	-0,00485971	-0,0069436	10,02979406	10,02979406	-2,929694483	0,138318053
-0,144417137	0,054036569	-0,082344177	0,006780564	-0,123299747	-0,007575522	-0,006820283	9,855885573	9,855885573	2,358197233	0,117182544
1,302639757	0,157182336	0,13885335	0,019280253	0,104924489	-0,005286808	-0,006742769	10,20144548	10,20144548	-2,700150541	0,095231335
-1,912926479	0,020354633	-0,11845867	0,014032457	-0,140768018	-0,007834982	-0,006717571	9,917655823	9,917655823	-1,036538076	0,07088591
-1,076172144	-0,036538603	-0,201668442	0,040670161	-0,189554229	-0,008973171	-0,007026754	10,13885335	10,13885335	-0,087165832	0,018285889
0,201505	-0,046804603	-0,191290542	0,036592072	-0,150867887	-0,009243788	-0,007404932	9,88154133	9,88154133	2,796570057	-0,034304055
0,71835113	0,081612006	0,079513048	0,006322325	0,113596178	-0,006622643	-0,0074927	9,798331558	9,798331558	-3,905366005	-0,051546905
-1,200363866	-0,108193425	-0,281654924	0,079329496	-0,239179413	-0,01043144	-0,007691809	9,808709458	9,808709458	-1,870689364	-0,076005774
1,372749622	-0,200308779	-0,425676446	0,181200437	-0,337722514	-0,012560792	-0,008387906	10,07951305	10,07951305	0,828686446	-0,143138166
2,6944756	-0,162071142	-0,311987751	0,097336357	-0,193166726	-0,012133088	-0,009104253	9,718345076	9,718345076	1,74869001	-0,203068878
-1,082221891	-0,078287886	-0,125219019	0,015679803	-0,011071344	-0,010673579	-0,009516555	9,574323554	9,574323554	-2,275508714	-0,224890431
0,876749045	-0,185067533	-0,320109694	0,102470216	-0,205288444	-0,013050582	-0,009948975	9,688012249	9,688012249	3,065608938	-0,24349993
-1,673437959	-0,036821631	-0,013246395	0,000175467	0,088673767	-0,010281752	-0,010251806	9,874780981	9,874780981	5,402197595	-0,244012908
-1,148466894	0,223095665	0,477580277	0,228082921	0,503595278	-0,004877643	-0,009750955	9,679890306	9,679890306	-2,642024059	-0,164130516
0,685183242	0,098878276	0,194836145	0,037961123	0,15917809	-0,007030178	-0,009069232	9,986753605	9,986753605	1,558661945	-0,073083065
-0,837361736	0,172902467	0,318445969	0,101407835	0,251223153	-0,005264386	-0,008534188	10,47758028	10,47758028	-3,665321887	-0,003712588
1,138685246	-0,002800055	-0,042621291	0,001816574	-0,107447985	-0,008597399	-0,008253723	10,19483614	10,19483614	-2,254312498	0,03292525
-0,519272895	-0,111824669	-0,243077068	0,059086461	-0,261337119	-0,01087486	-0,008529383	10,31844597	10,31844597	1,613443553	0,010834872
