U	Z	BC	SD	FB	CN	SF	FT	SO
0,311326362	0,082271263	0,256987137	0,066042389	0,228636171	-0,041454876	10,25698714	0,396033139	0,088661756
-0,450591352	0,105513665	0,269589517	0,072678508	0,207081427	-0,040845575	10,26958952	3,184130494	0,14652396
-1,494679942	0,259805169	0,533747812	0,284886727	0,423465445	-0,039952552	10,53374781	-0,569566878	0,22199645
-0,346990407	0,233377121	0,433749312	0,188138465	0,280905795	-0,038909557	10,43374931	-2,278584005	0,299614308
-0,448824533	0,123388735	0,18791803	0,035313186	0,036246606	-0,038219033	10,18791803	0,434734693	0,330776003
0,623454726	0,141273365	0,210288163	0,044221112	0,075615684	-0,037744111	10,21028816	-1,111470867	0,333202292
-0,462852844	0,084949991	0,090491044	0,008188629	-0,023588324	-0,037372246	10,09049104	-3,079850929	0,320410471
-0,87734677	-0,065371672	-0,196851674	0,038750582	-0,262193686	-0,037413489	9,803148326	-0,497129139	0,264933635
0,612439908	-0,092171238	-0,224067206	0,050206113	-0,232951703	-0,03776015	9,775932794	-0,673581859	0,182704699
-0,312798925	-0,126111286	-0,264808793	0,070123697	-0,230136434	-0,038174462	9,735191207	1,511718244	0,100285705
0,688986543	-0,054780649	-0,103793952	0,010773184	-0,051495587	-0,038461011	9,896206048	-0,821911736	0,038413743
0,492106396	-0,093613853	-0,16888028	0,028520549	-0,110814916	-0,038658756	9,83111972	-1,58581326	-0,007772947
0,032914019	-0,1681959	-0,297303452	0,088389343	-0,218902806	-0,03905155	9,702696548	1,522183269	-0,06604686
-0,439752043	-0,093908582	-0,132394977	0,01752843	-0,045781119	-0,039397251	9,867605023	-0,493202874	-0,111189698
0,98680271	-0,114738752	-0,165096661	0,027256908	-0,082249609	-0,039616829	9,834903339	1,543069746	-0,13698275
-0,581213116	-0,038254178	-0,010277659	0,00010563	0,058438346	-0,03970767	9,989722341	0,994490451	-0,144360345
0,325843475	0,012216304	0,08078911	0,00652688	0,12029093	-0,039554832	10,08078911	-0,014961072	-0,124541731
-0,279782768	0,014185952	0,072110829	0,005199972	0,086059118	-0,039323346	10,07211083	-0,951614915	-0,096477117
0,861346194	-0,02901196	-0,020674158	0,000427421	-0,014801122	-0,039196511	9,979325842	1,994279578	-0,079368422
-0,036897296	0,067655587	0,161950395	0,02622793	0,152742312	-0,038970923	10,16195039	-1,324376627	-0,05300968
-1,313173889	0,005907566	0,02723772	0,000741893	0,006579719	-0,038708588	10,02723772	0,624449231	-0,025465525
0,434738736	0,036353493	0,081365754	0,006620386	0,058122322	-0,038520934	10,08136575	-0,64093129	-0,00746654
0,89144742	0,00626915	0,015900641	0,00025283	-0,007158541	-0,038349	10,01590064	1,706791746	0,006705869
-2,587898955	0,087640489	0,169153903	0,028613043	0,13718514	-0,038082358	10,1691539	-0,242948494	0,028220894
0,286086795	0,075789152	0,131803161	0,017372073	0,085876025	-0,037706868	10,13180316	-2,758150938	0,057105408
1,35335936	-0,056388157	-0,130126711	0,016932961	-0,158898058	-0,037638659	9,869873289	0,999604184	0,052442307
-0,110387028	-0,009651254	-0,027733988	0,000769174	-0,034850775	-0,037717718	9,972266012	1,810628828	0,033240148
0,458446772	0,076099622	0,138885315	0,019289131	0,123584304	-0,037525718	10,13888531	-5,314683225	0,040999296
-0,771292296	-0,17741336	-0,355396761	0,126306858	-0,343746117	-0,03768365	9,644603239	0,927570351	0,013120402
0,13353303	-0,133305489	-0,239115533	0,057176238	-0,183262076	-0,038198368	9,760884467	2,945834252	-0,04609381
0,505833279	0,008169377	0,049551159	0,002455317	0,100242238	-0,03830172	10,04955116	-0,270325216	-0,059874792
0,24793412	-0,003112757	0,020559288	0,000422684	0,048998411	-0,038156127	10,02055929	0,896334257	-0,047785518
-0,367054453	0,040810439	0,099934813	0,009986967	0,108414712	-0,037956849	10,09993481	-1,642519406	-0,030474144
0,67904697	-0,036471354	-0,057991851	0,003363055	-0,054466535	-0,037844419	9,942008149	0,32505791	-0,022767723
1,266996969	-0,020293298	-0,023274284	0,000541692	-0,014498604	-0,037848824	9,976725716	1,034940843	-0,02650563
0,235824062	0,029774266	0,072636635	0,005276081	0,073662454	-0,037720665	10,07263663	0,423231605	-0,01699092
0,014866899	0,050534921	0,104412674	0,010902007	0,090246801	-0,037467358	10,10441267	-0,83852158	0,003686728
