Presure	MagVol	GenVol	Speed
-1,528292888	2,058445894	0,577328487	-0,122744009
1,441182082	-2,005046169	0,758036668	-0,086113973
1,431414072	2,058445894	-0,765772856	-0,198446085
1,441182082	-1,980626145	0,477206387	-0,205772092
-1,533176893	-2,005046169	-0,777982868	-0,130070017
-1,542944902	2,077981914	-0,909851	-0,112976
-1,542944902	-2,000162164	0,667682578	0,00668212
1,431414072	2,058445894	-0,665650755	0,028660142
1,436298077	2,058445894	0,613958524	-0,122744009
-1,528292888	-1,970858135	0,733616644	-0,110533997
1,441182082	-1,995278159	-0,704722795	-0,110533997
-1,542944902	-1,990394154	-0,902524992	-0,022621909
1,460718101	-1,97574214	-0,895198985	-0,08367197
1,426530067	-2,005046169	-0,904966995	0,021334135
-1,538060897	2,063329899	-0,887872978	0,026218139
1,441182082	2,063329899	0,728732639	0,038428152
1,441182082	2,058445894	0,994910905	0,077500191
1,446066087	-2,000162164	1,063286973	0,121456235
1,431414072	2,058445894	-0,506920597	0,158086271
-1,523408883	-2,000162164	0,933860844	0,209368323
1,460718101	-2,005046169	-0,487384577	0,260650374
-1,513640873	-2,000162164	-0,687628777	0,280186393
1,431414072	2,063329899	-0,712048802	0,260650374
-1,518524878	2,063329899	0,943628854	0,233788347
1,446066087	-2,005046169	1,173177083	0,22646234
1,441182082	-2,000162164	-0,440986531	0,299722413
-1,552712912	2,058445894	-0,677860768	0,270418384
-1,533176893	-1,97574214	0,960722871	0,275302389
-1,538060897	2,058445894	-0,458080548	0,238672352
1,441182082	-1,990394154	0,970490881	0,255766369
-1,538060897	2,063329899	-0,548434638	0,138550252
-1,518524878	-2,000162164	0,765362676	0,033544147
1,436298077	2,063329899	-0,650998741	0,004240118
-1,508756868	-2,005046169	0,591980502	-0,108091995
-1,538060897	-2,000162164	-0,768214858	-0,125186012
-1,542944902	-2,000162164	-0,99043708	-0,200888088
1,431414072	2,068213904	-1,053929144	-0,305894193
-1,538060897	2,058445894	0,328244238	-0,379154266
-1,533176893	2,058445894	0,501626412	-0,374270261
-1,518524878	2,082865919	0,557792468	-0,340082227
-1,518524878	-1,97574214	0,474764385	-0,384038271
